sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,decile_score.1,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,c_charge_degree_O
1,2.816137417126621,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-1.1716059831200767,False,True,False,False,False,False,False,False,True,True,False,False
1,-0.3446337598271813,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,0,0.21850114611019278,True,False,False,False,False,True,False,False,False,False,False,True
1,-0.0950991932255653,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,0,-0.47655241850494195,True,False,False,True,False,False,False,False,False,True,False,False
1,-0.9268810818976186,-0.13828670731128145,-0.1690758075926793,1.9204902643996922,0.1958171389756598,0,-0.1290256361973746,False,False,True,True,False,False,False,False,False,True,False,False
1,-1.010059270764824,-0.13828670731128145,2.05444127279561,-0.19823020463917249,-0.44422236698398226,1,1.2610814930328949,False,False,True,True,False,False,False,False,False,True,False,False
1,0.6535045065792827,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.23087586499743493,1,-1.1716059831200767,True,False,False,False,False,False,False,False,True,True,False,False
1,0.736682695446488,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-1.1716059831200767,True,False,False,False,False,False,False,False,True,False,True,False
1,0.487148128844872,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,2.329282158841133,0,0.5660279284177602,True,False,False,False,False,True,False,False,False,True,False,False
1,0.6535045065792827,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.01752936301088756,1,-0.1290256361973746,True,False,False,False,False,False,False,False,True,True,False,False
0,0.3207917511104614,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-1.1716059831200767,True,False,False,False,False,True,False,False,False,False,True,False
1,-1.25959383736644,-0.13828670731128145,-0.1690758075926793,1.9204902643996922,-0.6575688689705296,1,1.9561350576480296,False,False,True,False,False,True,False,False,False,True,False,False
0,-0.7605247041632079,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,0.21850114611019278,True,False,False,False,False,True,False,False,False,True,False,False
1,-1.1764156484992345,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.44422236698398226,0,-0.47655241850494195,False,False,True,False,False,True,False,False,False,True,False,False
1,-0.6773465152960026,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-0.1290256361973746,True,False,False,False,False,True,False,False,False,True,False,False
1,-1.010059270764824,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.01752936301088756,0,0.5660279284177602,False,False,True,True,False,False,False,False,False,False,True,False
0,0.15443537337605068,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-1.1716059831200767,True,False,False,False,False,True,False,False,False,False,True,False
1,-1.0932374596320293,-0.13828670731128145,-0.1690758075926793,-0.19823020463917249,-0.6575688689705296,1,-0.47655241850494195,False,False,True,False,False,True,False,False,False,False,True,False
